Name,Category,SubCategory,Price,Oz,Description,ImageURL
Apple Crumble Pie,Food,Sweet Stuff,$7.99 ,/27.161 Oz,"While you might think pumpkin pie is the top pick for Thanksgiving Day dessert, as it turns out, the almighty apple consistently earns the highest marks in myriad un-scientific surveys on the subject. And it makes sense� fall is peak apple season, with fresh crops coming off the trees by the bushel, their sweet-tart flesh and delicious crunch ready to elevate the ever-so-humble pie crust to another level entirely. Trader Joe�s Apple Crumble Pie is a prime example of such pie perfection. Its filling of tender, Northern Spy apples is imbued with warm cinnamon, and nestled between an all-butter pastry crust shell and a crunchy, buttery oat crumble topping with notes of brown sugar. It can be warmed in the oven while you enjoy Thanksgiving Dinner, or served at room temperature with a cup of coffee the next morning. And at eight inches in diameter, it can easily serve six dinner guests (with or without a scoop of TJ�s Super Premium French Vanilla Ice Cream). Apple Crumble Pie for the win!
Pick your own (dairy)-certified, apple-solutely awesome Apple Crumble Pie from our fresh bakery tables, until the holiday pie harvest ends in late December.",https://drive.google.com/file/d/1dKWfse0ND588Dfk23Tvfnkox4qnf07ji/
Apple & Pumpkin Hand Pies,Food,Sweet Stuff,$4.49 ,/8.47 Oz,"When you�re looking for something sweet to eat, why not try one of Trader Joe�s Apple Pumpkin Hand Pies? Each one is made with a mix of pumpkin pur�e, freshly peeled Northern Spy apples, rich cream, and zesty pumpkin pie spice, all encased in a hand-folded, flaky, oh-so-buttery crust, and baked to a glorious, golden brown. With every bite, you�re treated to a symphony of familiar fall flavors and warm, inviting aromatics. Frankly, it�s one of the finest seasonal pastries we�ve ever brought in�hands down.
Just as the name implies, our Apple Pumpkin Hand Pies can be enjoyed sans knife or fork, making them quite convenient for picnics, work lunches, or as an anytime, on-the-go indulgence. If you�re looking to take things to the next level, however, we vehemently recommend bringing the flatware back into the picture by warming a Pie up and serving it topped with your favorite ice cream�our seasonal Pumpkin Ice Cream or year-round French Vanilla Ice Cream are two particularly great a la mode contenders. Of course, whichever way you choose to enjoy them, these Hand Pies are guaranteed to delight.",https://drive.google.com/file/d/1nBtQlAYtQqXBjjQX0PYz0jzr965jPMOM/
Glazed Maple Donuts,Food,Sweet Stuff,$4.49 ,/15 Oz,"More and more, we�re doing donuts. And we�re doing them deliciously, if we do say so ourselves. Ever tried our Trader Joe�s Apple Cider Donuts in the autumn months? Delicious. How about Trader Joe�s Sour Cream Donuts in the spring? Divine. Well, we�ve partnered with the same donut specialists who make our other varieties, and they�ve come through yet again... Presenting Trader Joe�s Glazed Maple Donuts, a maple-y marvel that�s sure to bring joy to sweet-toothed breakfast pastry lovers throughout the land.
Trader Joe�s Glazed Maple Donuts are classic cake donuts, infused with real maple syrup, cut into star-shaped crullers with peaks and edges that take on an almost-crisp texture. The inside is dense, soft, and delightfully doughy, and the sweet maple glaze on top is, quite literally, the icing on the cake. Our Glazed Maple Donuts will only be available for a short time, though, so if Maple is your main squeeze, make a run to the Trader Joe�s donut depot, pronto!",https://drive.google.com/file/d/1wU7S06OSskTJnvYEZ-NnJFYr8v-preYG/
Portuguese Flor de Sal,Food,Spices,$4.99 ,/5.11 Oz,"Similar to its French equivalent, Fleur de Sel, Trader Joe�s Portuguese Flor de Sal is collected by hand, from a thin layer of salt crystals that form on the surface of the sea�it�s a gentle process, unlike traditional sea salt harvesting methods that use machines. The Salt crystals are small, delicate, and flaky� the name means salt flower in Portuguese. This Salt contains more moisture than traditional sea salt. It�s preserved in a ceramic crock and topped with a cork lid, which helps protect the crystals and keep them from drying out�it�s a terrific vessel that makes this salt tremendously giftable, and also offers countless re-use options once you�ve enjoyed the contents.
Portuguese Flor de Sal can season all the dishes on your holiday table. It is especially nice as a finishing salt, atop a steak, buttery potatoes�really, you can enjoy it just about anywhere calling for good salt. To really highlight its exceptional, clean flavor, try adding a sprinkle of Flor de Sal to your desserts�it can heighten chocolate notes and help balance the sweetness. Plus, it adds a lovely crunchy texture.",https://drive.google.com/file/d/1DXNpfKHgJ5vXNra2SuvUw7IxDb1d_D-o/
"Red Pepper, Cranberry & Walnut Dip",Food,Dip/Spread,$3.99 ,/8 Oz,"The category of �dips� is a deceptively diverse one. There are, of course, savory dips, sweet dips, spicy dips, even some refreshingly tart dips. And then, every now and then, you come across something like Trader Joe�s Red Pepper, Cramberry & Walnut Dip, which manages to contain all of those multitudinous flavors at once. It�s made with a mix of peppery pimentos, dried cranberries, and chopped walnuts to provide a harmonious mix of autumn-inspired tastes and satisfying textures in every single bite. And it�s the latest seasonal star to hit the shelves of your neighborhood Trader Joe�s refrigerator case.
Our Red Pepper, Cranberry & Walnut Dip makes an ideal appetizer for a pre-holiday meal or autumnal cocktail party snack table, an apt accessory for all kinds of charcuterie boards, and a splendid spread for savory sandwiches�especially one made with some leftover Thanksgiving turkey. Try scooping it with chips or crostini, a warm piece of pita or Lavash, or even your favorite raw, crunchy veggies. For some serious seasonal synergy, we recommend enjoying it with our Pumpkin Cranberry Crisps. Fall-icious!",https://drive.google.com/file/d/1FL7BrypNAkMBDl6Jiey_hxT-QruOmYyQ/
Mashed Potatoes,Food,Entr�es & Sides,$4.29 ,/28 Oz,"Creamy, buttery, heavenly potatoes. No washing. No peeling. No mashing. No, really. Trader Joe�s Mashed Potatoes are mashed to the pinnacle of creamy palatibilty and quick frozen into precisely proportioned sections, retaining their freshness, quality, and flavor, and making them super easy to prepare. And they�re really good.
These Mashed Potatoes cook quickly, and involve virtually no effort on the part of the cook. A winning scenario. Of course, if you enjoy the washing, the peeling and the mashing, we do have plenty of fresh potatoes available. But, if you want to simplify without compromising any of the much-loved flavor and texture� Be bold, buy frozen!",https://drive.google.com/file/d/1tmlpsk7fNPQ7Is2NhfW0Sf3tDMR_Ar8C/
Korean Beefless Bulgogi,Food,Entr�es & Sides,$4.49 ,/10 Oz,"The word bulgogi literally means �fire meat� in Korean. The meat of choice in this popular dish is typically beef, sliced into thin strips, marinated in bulgogi sauce (basically a doctored soy sauce), and �fired� on a grill. We love this dish, and have explored some of our own versions, like Trader Joe�s Korean Inspired Bulgogi Beef Fried Rice with Kimchi to name just one. Continuing our exploration, we�ve chosen some less traditional territory in the creation of Trader Joe�s Korean Beefless Bulgogi.
The fire �meat� in this case is not meat at all. Instead, it�s 100% Beefless textured soy protein. Even so, the marinade is quite traditional, made by our Korean supplier (in the Republic of Korea) using common bulgogi- sauce ingredients, such as soy sauce, pear puree, garlic, ginger, green onions, and sugar. Though completely vegan, the texture of our Beefless Bulgogi is satisfyingly meat-like; and the savory, sweet, salty sauce adds authenticity (not to mention enjoyability!) to the whole eating experience.
Korean Beefless Bulgogi cooks from frozen in 3-7 minutes, depending on your chosen method. Serve it with a side of Organic Jasmine Rice, or in a stir fry with your favorite TJ�s veggies. Since we�ve already gone non-traditional, why not take it a step further and pack some TJ�s tortillas with this Bulgogi for truly inspired, totally meatless tacos?!",https://drive.google.com/file/d/1qNxeFhVttsywnk_AI6UtScSy7OLe8d_r/
Cracked Olive Salad,Food,"Packaged Fish, Meat, Fruit & Veg",$3.49 ,/11.64 Oz,"Almost all olives must go through a curing process before they�re edible. Fresh, right-off-the-tree olives are full of an extremely bitter-tasting compound called oleuropein, which can be removed by submerging them in various kinds of solutions, or even just packing them in salt, for an extended period of time. In some cases, olive farmers prefer to �crack� their olives prior to curing, by smashing them just enough to allow the pit to be removed. These cracked olives, or olive schiacciate, as they�re known in Italy, absorb more brine than an intact olive as they cure, developing a deeper flavor and softer texture. And when combined with a mix of pickled veggies, capers, and savory seasonings, as they are in Trader Joe�s Cracked Olive Salad, they�re nothing short of a cracking good time.
Equally able as an appetizer, condiment, or side, each jar of Trader Joe�s Cracked Olive Salad is made with both green cracked olives and black pitted olives, capers, and a giardiniera-like mix of pickled cauliflower, carrots, celery, and red peppers, all suspended in oil that�s been seasoned with herbs like oregano and parsley. It makes a great topping for an Italian beef or muffaletta sandwich, a terrific topping for practically any style of pizza, and serves spectacularly well with a charcuterie board or cheese plate. Personally, we like to simply enjoy it as is, as an antipasto-like side for pasta or spread over a nicely toasted crostini.",https://drive.google.com/file/d/1pIApwWkj_2WIQdCmvLoEf92TIsOb0cFR/
Bulgur Pilaf with Butternut Squash & Feta Cheese,Food,Entr�es & Sides,$3.49 ,/14.1 Oz,"Drawing inspiration from the dish known across Greece and Cyprus as pilafi pourgouri, Trader Joe�s Bulgur Pilaf with Butternut Squash and Feta Cheese is a side dish for the ages. Each batch starts with a base of light, nutty bulgur wheat, which our supplier seasons with aromatic spices like thyme and turmeric. They then cook it in a mild vegetable broth with bits of sweet and earthy butternut squash until the bulgur takes on a tender, easy- going texture, before finally tossing it all with chunks of tart, tangy, feta cheese. Each forkful offers a variety of textures, from the soft bite of the squash, to the fluffiness of the bulgur, and the teeth-sinking satisfaction of the feta, all bound together by a delightfully savory flavor profile that pairs excellently with practically any protein.
In contrast to the pleasant complexity of its texture and flavor, this Bulgur Wheat couldn�t be simpler to prepare: just a few minutes in the microwave or on the stovetop are all you need to serve it nice and hot. That said, it can also be enjoyed cold, a bit like a tabbouleh, by emptying the bag into a bowl and allowing it to thaw in the fridge overnight. Either way, it pairs most deliciously with a hearty Mediterranean-inspired main course, like grilled Shawarma Chicken Thighs, pan-fried Gyro Slices, or yogurt-marinaded salmon kebabs.",https://drive.google.com/file/d/1yFiXzJR4wETmhxanJgStmr1CYEzH3rx0/
Vegan Salmonesque Spread,Food,Dip/Spread,$4.29 ,/8 Oz,"If you�ve taken a look at the dips section of our refrigerated case lately, you�ve likely noticed a distinct proliferation of plant-based fare. This uptick in vegan versions of our classic dips and spreads is no mere happenstance�it�s part of a concerted effort to make more options available to our customers who don�t eat dairy or meat. And now, we�re proud to introduce our first foray into plant-based seafood with Trader Joe�s Vegan Salmonesque Spread. Made with a base of dairy-free cream cheese, to which our supplier adds savory bits of plant-based smoked salmon, chopped dill, and tart, briney capers, each bite of this Spread effortlessly evokes the flavors of our classic Smoked Salmon Dip, all without containing any salmon�or any other animal-based products, for that matter. It�s downright Salmonesque!
Just like the original dip that inspired it, our Salmonesque Spread has a remarkable range of uses. For breakfast, it pairs perfectly with a well-toasted Everything Bagel. At lunch, we like it as a creamy condiment for a vegan sandwich. And come dinnertime (or an anytime you�re in the mood for a savory, Salmonesque snack) it makes an easy appetizer with your favorite crackers or chips.",https://drive.google.com/file/d/1XuHeCqrSefVHSE-wJFgOWN1GfQ2Ze0Ac/
